unit_id,cycle,H_structural_disruption,F_Q,F_C,Delta_F,CRLB,Coherence_percent,Omega,RUL,drift_score,variance_score,entropy_score
1,1,0.16838035196812287,4.0,2.8563187836790362,1.1436812163209638,0.3501009781240054,91.98188800151796,76.49394532512991,191,0.7187260971733337,0.0,2.7069871898030597
1,2,0.20798357232485096,4.0,2.6388077794672733,1.3611922205327267,0.3789590161818765,90.09602036548328,71.35752819761754,190,0.7176944262892379,0.0,2.773263250237244
1,3,0.1008253049190315,4.0,3.2695218510001998,0.7304781489998002,0.3058551205871537,95.19879500385564,85.60034746966751,189,0.5878200088143404,0.0,2.625858405158856
1,4,0.13238899574280083,4.0,3.0695051805495437,0.9304948194504563,0.32578540878076206,93.69576210748566,81.29147425671927,188,0.7964000364172925,0.0,2.6282897627755974
1,5,0.27558632947323153,4.0,2.3050945662355113,1.6949054337644887,0.43382168117862374,86.87684145365564,62.934771601214806,187,0.6218143925827829,0.7552055198845713,2.608114874947881
1,6,0.29217941579296713,4.0,2.2298527001231707,1.7701472998768293,0.4484601157487949,86.08669448604918,60.93393438356769,186,0.614050582502095,0.7359453636131791,2.645322389721239
1,7,0.35173360326760506,4.0,1.97946608555787,2.02053391444213,0.505186730551219,83.25078079678072,53.96868369228749,185,0.7075979421820271,0.8040507429262653,2.694963588224622
1,8,0.3680439753039041,4.0,1.9159362575862307,2.084063742413769,0.5219380321450976,82.4740964140998,52.120002110257055,184,0.7454295236010063,0.8324881757897383,2.7017213881747244
1,9,0.35494701880092283,4.0,1.9667851840774484,2.033214815922552,0.5084439358684033,83.09776100947987,53.60245847013343,183,0.7461308915463188,0.8963324310635998,2.6542765949088527
1,10,0.4072511356990768,4.0,1.7714387858093252,2.228561214190675,0.5645128739478996,80.60708877623443,47.779760326716655,182,0.8157276503457132,0.8771307042431049,2.732383400992509
1,11,0.3497463263171407,4.0,1.9873492358352642,2.0126507641647358,0.5031828236166601,83.34541303251711,54.195661009009505,181,0.8079143600218611,0.8982824192282292,2.629961240669526
1,12,0.4023989043674394,4.0,1.7887133318889334,2.2112866681110663,0.5590610760104141,80.83814741107432,48.30896546176445,180,0.6663249335381641,0.8678536705600527,2.763942517273298
1,13,0.43144591788681486,4.0,1.6877605390298371,2.312239460970163,0.5925011142723022,79.45495629110407,45.17443974343192,179,0.9298900286677939,0.8674317629894106,2.7491145069779996
